Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.130111,9.796509,-0.361180,9.804028,92.111252,89.239082
0.0049625,0.049646,9.808739,-0.457091,9.819509,92.668045,89.710007
0.0099266,-0.064260,9.795005,-0.461296,9.806071,92.696297,90.375885
0.0148906,-0.124613,9.801402,-0.470786,9.813493,92.749725,90.728409
0.0198531,-0.271119,9.790064,-0.401814,9.802056,92.349373,91.586304
0.0248172,-0.248825,9.771245,-0.417080,9.783307,92.443359,91.458717
0.0297797,-0.136537,9.756104,-0.305395,9.761837,91.792763,90.801804
0.0347422,0.041908,9.784843,-0.317663,9.790088,91.859421,89.754608
0.0397047,0.239142,9.734930,-0.174307,9.739427,91.025482,88.592789
0.0446687,0.309216,9.737524,-0.041199,9.742519,90.242294,88.181175
0.0496609,0.516180,9.712147,-0.040357,9.725938,90.237740,86.957710
0.0545953,0.478869,9.719090,0.058830,9.731057,89.653610,87.179260
0.0595578,0.369713,9.613850,-0.001111,9.620955,90.006615,87.797707
0.0645219,0.301420,9.619002,0.062374,9.623926,89.628654,88.205170
0.0694844,0.186556,9.625639,0.074737,9.627737,89.555222,88.889679
0.0744484,0.124815,9.584382,0.052404,9.585339,89.686752,89.253899
0.0794109,0.193959,9.646124,0.148326,9.649214,89.119225,88.848083
0.0843750,0.206189,9.670458,0.173771,9.674216,88.970779,88.778557
0.0893359,0.181825,9.757799,0.128540,9.760340,89.245415,88.932480
0.0943016,0.228340,9.692179,0.053142,9.695014,89.685944,88.650406
0.0992641,-0.005306,9.719712,-0.003084,9.719714,90.018181,90.031273
0.1042266,-0.138481,9.762089,-0.150653,9.764234,90.884056,90.812721
0.1091906,-0.239114,9.837564,-0.284738,9.844588,91.657410,91.392365
0.1141531,-0.299132,9.861870,-0.412291,9.875016,92.392845,91.737373
0.1191172,-0.343932,9.826024,-0.462062,9.842893,92.690666,92.004654
0.1240797,-0.593858,9.290853,-0.455320,9.320940,92.799965,93.657288
0.1290422,-0.285284,9.714464,-0.541281,9.733714,93.187798,91.682114
0.1340062,0.131796,10.129436,-0.247283,10.133311,91.398323,89.254555
0.1389688,0.292648,9.869158,-0.199159,9.875504,91.155563,88.301521
0.1439328,0.373955,9.833112,-0.374578,9.847346,92.179970,87.822083
0.1488953,0.338502,9.686873,-0.348969,9.699066,92.061928,87.998650
0.1538594,0.234287,9.679212,-0.364589,9.688909,92.156525,88.613419
0.1588219,0.087810,9.693644,-0.231385,9.696802,91.367325,89.481003
0.1637844,0.037848,9.754677,-0.192369,9.756647,91.129761,89.777695
0.1687484,0.046859,9.741336,-0.192886,9.743359,91.134338,89.724388
0.1737109,0.061100,9.758067,-0.232850,9.761036,91.366928,89.641251
0.1786750,0.052174,9.700472,-0.257089,9.704019,91.518120,89.691833
0.1836375,0.114337,9.774884,-0.261658,9.779055,91.533241,89.329842
0.1886000,0.129852,9.793645,-0.277229,9.798429,91.621300,89.240372
0.1935641,0.122066,9.783340,-0.339507,9.789989,91.987358,89.285164
0.1985266,0.185464,9.765843,-0.308201,9.772465,91.807274,88.912018
0.2034891,0.174537,9.779414,-0.315489,9.786058,91.847458,88.977524
0.2084531,0.155403,9.764637,-0.273724,9.769709,91.605507,89.088226
0.2134172,0.157491,9.756985,-0.274251,9.762109,91.609848,89.075249
0.2183797,0.083634,9.722557,-0.390686,9.730762,92.301018,89.507149
0.2233422,0.130302,9.728015,-0.370479,9.735939,92.180786,89.232597
0.2283062,0.094102,9.706783,-0.339412,9.713172,92.002518,89.444565
0.2332688,0.098813,9.780610,-0.323141,9.786446,91.892204,89.421158
0.2382328,0.097281,9.782833,-0.297523,9.787840,91.741898,89.430267
0.2431953,0.060229,9.764111,-0.313142,9.769316,91.836853,89.646584
0.2481594,0.057106,9.765882,-0.366887,9.772938,92.151459,89.664963
0.2531203,0.036162,9.785754,-0.282717,9.789904,91.654839,89.788269
0.2580844,0.107643,9.780965,-0.282142,9.785625,91.652199,89.369461
0.2630484,0.054320,9.740072,-0.333579,9.745934,91.961479,89.680466
0.2680109,0.061684,9.735667,-0.266063,9.739498,91.565399,89.636986
0.2729750,0.079344,9.717835,-0.199466,9.720206,91.175835,89.532204
0.2779375,0.059280,9.786912,-0.217135,9.789500,91.270950,89.652954
0.2829000,0.091842,9.735456,-0.156686,9.737151,90.922020,89.459503
0.2878641,0.089945,9.777490,-0.231194,9.780636,91.354477,89.472939
0.2928266,0.136029,9.717270,-0.260499,9.721712,91.535454,89.197990
0.2977906,0.104540,9.712999,-0.216522,9.715975,91.276955,89.383354
0.3027531,0.090731,9.758795,-0.274002,9.763062,91.608231,89.467316
0.3077172,0.116310,9.723274,-0.229412,9.726675,91.351501,89.314659
0.3126797,0.053975,9.784824,-0.244889,9.788037,91.433640,89.683952
0.3176437,0.083203,9.741327,-0.309369,9.746593,91.818947,89.510635
0.3226047,0.111512,9.753815,-0.221109,9.756958,91.298531,89.344986
0.3275687,0.074680,9.748375,-0.191843,9.750548,91.127373,89.561081
0.3325328,0.116004,9.754725,-0.210288,9.757680,91.234879,89.318665
0.3374953,0.181672,9.766791,-0.217221,9.770896,91.273872,88.934364
